locMergedLongLatCarr.TICKET_FARE,locMergedLongLatCarr.Carrier_Frequency_Normalized,locMergedLongLatCarr.Destin_Normalized,locMergedLongLatCarr.Origin_Normalized,locMergedLongLatCarr.Base_Fare_Normalized,locMergedLongLatCarr.Month_Standardization,locMergedLongLatCarr.DAYS_Standardized,locMergedLongLatCarr.Seats_Normalized,locMergedLongLatCarr.DATE_OF_TRAVEL,locMergedLongLatCarr.DATE_OF_PRICEFALL,locMergedLongLatCarr.Carrier_Name,locMergedLongLatCarr.Origin_Loc_Name,locMergedLongLatCarr.Dest_Loc_Name,locMergedLongLatCarr.Origin_Lat,locMergedLongLatCarr.Origin_Long,locMergedLongLatCarr.Destination_Lat,locMergedLongLatCarr.Destination_Long,locMergedLongLatCarr.MONTH_OF_TRAVEL,DAY_OF_TRAVEL,locMergedLongLatCarr.MONTH_OF_PRICEFALL,DAY_OF_PRICEFALL
74.30671059,2.572159985,-0.914665085,-0.030471379,-0.544335486,0.000138,0.049216333,0.466899905,2/17/2015,12/25/2014,Delta Airlines,Grand Rapids MI,Atlanta GA,42.88111111,-85.52416667,33.64083333,-84.42722222,2,17,12,25
75.94581249,2.572159985,-0.891020107,-1.019468494,-0.653954119,0.500138,-0.084117,0.351611684,3/13/2015,2/10/2015,Delta Airlines,Atlanta GA,Baltimore MD,33.64083333,-84.42722222,39.17555556,-76.67138889,3,13,2,10
78.00087049,2.572159985,-0.914665085,0.522203479,-0.757046645,0.500138,-0.450783667,0.401736997,3/2/2015,11/14/2014,Delta Airlines,Norfolk VA,Atlanta GA,36.89583333,-76.20138889,33.64083333,-84.42722222,3,2,11,14
95.43978258,-0.504041969,-0.559990417,0.085881223,-0.332309491,-0.499776,-0.122193867,0.474418702,4/12/2015,4/9/2015,Alaska Airlines,Las Vegas NV,Portland OR,36.08,-115.1522222,45.58916667,-122.595,4,12,4,9
52.38340936,1.4575735,-0.891020107,1.743905798,-0.859280764,-0.499776,0.277806133,-0.498012376,4/24/2015,4/7/2015,Southwest Airlines,Dayton OH,Baltimore MD,39.90111111,-84.22,39.17555556,-76.67138889,4,24,4,7
113.5252956,2.572159985,-0.370830595,-0.903115892,-0.470359715,0.500138,0.349216333,-0.209791825,3/26/2015,3/14/2015,Delta Airlines,Orlando FL,Memphis TN,28.43166667,-81.32472222,35.04972222,-89.97861111,3,26,3,14
129.7782937,2.572159985,-0.96195504,0.173145674,0.190645764,0.500138,0.482549667,-0.385230421,3/30/2015,2/13/2015,Delta Airlines,New York NY,Fort Lauderdale FL,40.63861111,-73.77694444,26.07416667,-80.15166667,3,30,2,13
71.56473262,2.572159985,-0.914665085,2.238404355,-0.858025853,0.500138,-0.050783667,0.426799654,3/14/2015,12/7/2014,Delta Airlines,Gulfport/Biloxi MS,Atlanta GA,30.40611111,-89.07027778,33.64083333,-84.42722222,3,14,12,7
79.84953475,-0.530215066,-0.938310063,0.144057523,-0.829543575,0.500138,-0.150783667,-0.179716637,3/11/2015,12/1/2014,JetBlue Airlines,Richmond VA,Boston MA,37.50527778,-77.31972222,42.36361111,-71.00611111,3,11,12,1
148.8392865,1.4575735,-0.418120551,-1.077644795,0.523535293,0.500138,-0.484117,0.419280857,3/1/2015,1/9/2015,Southwest Airlines,Fort Lauderdale FL,Manchester NH,26.07416667,-80.15166667,42.93833333,-71.43888889,3,1,1,9
