"data102.TICKET_FARE","data102.Freq_Normalized","data102.Destin_Value_Normalized","data102.Origin_Value_Normalized","data102.Base_Fare_Normalized","data102.Month_Standardization","data102.DAYS_Standardized","data102.Seats_Normalized","data102.MONTH_NUMBER","data102.DAYS"
121.373712806701,1.43347578066276,-0.908728803433744,1.66268908490185,0.0950394097820395,0.000283999999999729,0.305542844444444,0.469671451963241,11,25
224.6752426,2.32906497,-0.636853951,-0.939941959,1.362879106,-0.499804,0.011182311,0.267018085,4,16
138.1006,1.79856630479317,-0.715559939142145,1.29864722006059,0.343118411788998,0.5056,-0.194094222222222,0.369749493734336,9,10
260.555289706951,0.958760224593795,-0.419342129541088,-0.264900156201968,2.23033695715559,0.000283999999999729,-0.261123822222222,-0.151882432748538,11,8
102.348,-0.245888195585124,0.846045382264629,1.64081000887215,-0.0642739640401313,0.00559999999999983,-0.260760888888889,0.429899869674185,8,8
154.4493747,0.042867703,-0.906064753,-0.277173633,0.745945506,0.000196,-0.322151022,-0.181603469,5,6
115.0094029,1.45576187877595,-0.6294702604209,-0.00633773440982285,-0.143219421895686,0.000585333333333327,0.182832088888889,-0.124825891395155,2,21
81.68557092,1.623131698,-0.220800892,0.472042736,-0.735241876,0.000196,0.244515644,-0.211678657,5,23
62.93883957,2.43413674416648,0.555664854695402,-0.634835782254016,-0.858959849261904,0.000585333333333327,0.182832088888889,-0.413046442773601,2,21
96.8690600358799,0.510732219437912,-0.321464794762556,-0.656441720801181,-0.406262901309121,0.500284,-0.327790488888889,0.168919572263993,12,6
71.10627,0.520032547961673,-0.446317642347874,-0.0388982271118661,-0.843796757965864,0.5056,0.372572444444444,0.256967538847118,9,27
275.733366756904,0.958760224593795,-0.296995461067923,-0.505848811339945,2.45199222970607,-0.499716,0.305542844444444,-0.139351104427736,10,25
65.741559,2.43413674416648,-0.990163556325862,-0.874263610004185,-0.781122005334552,-0.499414666666667,-0.0171679111111111,0.0180312514619883,1,15
196.34000357143,1.43347578066276,1.85630590405977,-0.716678884585675,1.10554869699003,-0.499716,-0.0611238222222222,-0.394990202172097,10,14
